permit_type,accela,name,address_no,address_st,bo,zip,inspection_date,inspection_year,inspection_type,all_violations,phh_violations,critical_violations,general_violations,docket,lat,long,BIN,NTA,NTAcode
Indoor,41570005,EQUINOX HUDSON STREET INC.,421,HUDSON STREET,MA,10014,5/7/2019,2019,Re-Inspection,1,0,0,1,,40.73005547,-74.00689146,1067116,West Village,MN23
Indoor,50051333,160 LEROY LLC,160,LEROY STREET,MA,10014,5/7/2019,2019,Complaint Inspection,1,0,0,1,,40.73051635,-74.01009551,1090584,West Village,MN23
Indoor,40651656,BLDG MANAGEMENT CO. INC. / THE MONTANA,247,WEST 87 STREET,MA,10024,5/7/2019,2019,Routine Inspection,1,0,0,1,,40.78914221,-73.97547201,1080398,Upper West Side,MN12
Indoor,40604284,BEDFORD YMCA,139,MONROE STREET,BK,11216,5/8/2019,2019,Re-Inspection,1,0,1,0,08198-19S1,40.68519374,-73.95298586,3329682,Bedford,BK75
Indoor,41439903,CRUNCH LLC,691,FULTON STREET,BK,11217,5/9/2019,2019,Routine Inspection,1,0,1,0,09303-19S0,40.68769076,-73.97788929,3331261,Fort Greene,BK68
Indoor,41572745,TOWN SPORTS INTERNATIONAL LLC,575,LEXINGTON AVENUE,MA,10022,5/13/2019,2019,Complaint Inspection,1,0,0,1,,40.75720889,-73.97182732,1036461,Turtle Bay-East Midtown,MN19
Indoor,41359734,TOWN SPORTS INTERNATIONAL LLC,885,2 AVENUE,MA,10017,5/14/2019,2019,Re-Inspection,1,0,1,0,06024-19S1,40.75318729,-73.96975726,1037988,Turtle Bay-East Midtown,MN19
Indoor,40425682,BELAIRE CONDOMINIUM CORP,524,EAST 72 STREET,MA,10022,5/14/2019,2019,Routine Inspection,1,0,0,1,,40.76658162,-73.95314479,1072695,Lenox Hill-Roosevelt Island,MN31
Indoor,50083440,THE KENT CONDOMINIUM,200,EAST 95 STREET,MA,10128,5/16/2019,2019,Routine Inspection,1,0,0,1,,40.78446501,-73.94974499,1090563,Yorkville,MN32
Indoor,50039431,XSPORT FITNESS,200,BAYCHESTER AVENUE,BX,10475,5/16/2019,2019,Re-Inspection,1,0,1,0,07773-19S2,40.86590541,-73.83042975,2120098,Co-op City,BX13
Indoor,41466338,THE POWERHOUSE CONDOMINIUM,50-09,2 STREET,QU,11101,5/16/2019,2019,Routine Inspection,1,0,1,0,09828-19S0,40.74340142,-73.95843364,4540156,Hunters Point-Sunnyside-West Maspeth,QN31
Indoor,40425690,NYC BD OF ED/JOHN ADAMS HIGH SCHOOL,101-01,ROCKAWAY BOULEVARD,QU,11471,5/16/2019,2019,Re-Inspection,1,0,1,0,,40.6796313,-73.83729753,4202849,South Ozone Park,QN55
Indoor,41486495,THE SEVILLE CONDOMINIUM OF SOLSTICE RESIDENTIAL,300,EAST 77 STREET,MA,10021,5/17/2019,2019,Re-Inspection,1,0,1,0,22131-18S1,40.77185805,-73.95566471,1045192,Lenox Hill-Roosevelt Island,MN31
Indoor,40710271,TRIBECA PARK HEALTH CLUB (BPC ASSOC. L.P.),34,RIVER TERRACE,MA,10282,5/20/2019,2019,Routine Inspection,1,0,0,1,,40.71791728,-74.01541095,1085774,Battery Park City-Lower Manhattan,MN25
Indoor,50033041,610 LEXINGTON PROPERTY LLC,610,LEXINGTON AVENUE,MA,10022,5/21/2019,2019,Routine Inspection,1,0,1,0,10145-19S0,40.75817762,-73.97114469,1000000,Turtle Bay-East Midtown,MN19
Indoor,40425435,ISRAEL CENTER OF CONSERVATIVE JUDAISM INC,167-11,73 AVENUE,QU,11366,5/21/2019,2019,Routine Inspection,1,0,0,1,,40.72815008,-73.80199704,4150368,Pomonok-Flushing Heights-Hillcrest,QN38
Indoor,41473446,TOREN CONDOMINIUM INC,150,MYRTLE AVENUE,BK,11201,5/22/2019,2019,Routine Inspection,1,1,0,0,10175-19S0,40.6935984,-73.98308013,3394020,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38
Indoor,40425701,NYC BD OF ED/PROSPECT HEIGHTS HIGH SCHOOL,883,CLASSON AVENUE,BK,11225,5/22/2019,2019,Routine Inspection,1,0,1,0,,40.67034226,-73.96169487,3029686,Crown Heights South,BK63
Indoor,40425514,KINGS BAY Y.M.-Y.W.H.A.,3495,NOSTRAND AVENUE,BK,11229,5/22/2019,2019,Routine Inspection,1,0,0,1,,40.59881021,-73.94157062,3200300,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17
Indoor,41477222,IMAGINE FLAGSHIP LLC,40,HARRISON STREET,MA,10013,5/28/2019,2019,Routine Inspection,1,0,0,1,,40.71885926,-74.0108441,1083235,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,40998755,EQUINOX COLUMBUS CENTRE INC,10,COLUMBUS CIRCLE,MA,10019,5/29/2019,2019,Complaint Inspection,1,0,0,1,,40.76823668,-73.98233906,1026318,Lincoln Square,MN14
Indoor,41485627,WATERSIDE PLAZA LLC,30,WATERSIDE PLAZA,MA,10010,5/29/2019,2019,Routine Inspection,1,0,0,1,,40.73764746,-73.97386721,1083710,Murray Hill-Kips Bay,MN20
Indoor,41203659,ORION CONDOMINIUM,350,WEST 42 STREET,MA,10036,5/30/2019,2019,Routine Inspection,1,0,0,1,,40.75782684,-73.9912395,1087264,Clinton,MN15
Indoor,40956281,TSI WEST 94 INC,2521,BROADWAY,MA,10025,5/30/2019,2019,Routine Inspection,1,0,1,0,10694-19S0,40.79344261,-73.97267508,1081057,Upper West Side,MN12
Indoor,40425450,THE BOYS CLUB OF N. Y. INC,321,EAST 111 STREET,MA,10029,5/30/2019,2019,Routine Inspection,1,0,0,1,,40.79345173,-73.93923221,1052876,East Harlem North,MN34
Indoor,40425645,COLUMBIA UNIVIVERSITY - HEALTH SCIENCE DIV,50,HAVEN AVENUE,MA,10032,5/30/2019,2019,Re-Inspection,1,1,0,0,09608-19S1,40.84329542,-73.94291641,1063423,Washington Heights South,MN36
Indoor,40425815,Y.M.C.A. OF GREATER NEW YORK,224,EAST 47 STREET,MA,10017,6/3/2019,2019,Routine Inspection,1,0,0,1,,40.75362688,-73.97141737,1037605,Turtle Bay-East Midtown,MN19
Indoor,40908206,TOWN SPORTS INTERNATIONAL,1221,AVENUE OF THE AMERICAS,MA,10020,6/3/2019,2019,Routine Inspection,1,0,1,0,10869-19S0,40.75909387,-73.98213574,1022693,Midtown-Midtown South,MN17
Indoor,50073763,56 LEONARD STREET CONDOMINIUM,56,LEONARD STREET,MA,10013,6/4/2019,2019,Routine Inspection,1,0,1,0,10970-19S0,40.71789069,-74.00627332,1088646,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,40878593,TSI NEW YORK SPORTS CLUB,1372,BROADWAY,MA,10018,6/4/2019,2019,Routine Inspection,1,0,0,1,,40.75226286,-73.98745408,1080609,Midtown-Midtown South,MN17
Indoor,41380939,TCR TENNIS CLUB OF RIVERDALE INC,2600,NETHERLAND AVENUE,BX,10463,6/4/2019,2019,Re-Inspection,1,0,1,0,07986-19S3,40.87873784,-73.91567763,2083247,Spuyten Duyvil-Kingsbridge,BX29
Indoor,50048362,421 KENT DEVELOPMENT LLC,429,KENT AVENUE,BK,11249,6/5/2019,2019,Routine Inspection,1,1,0,0,11098-19S0,40.70931187,-73.96847513,3396741,North Side-South Side,BK73
Indoor,40425833,HEBREW EDUCATIONAL SOCIETY,9502,SEAVIEW AVENUE,BK,11236,6/5/2019,2019,Routine Inspection,1,0,0,1,,40.63280057,-73.89122023,3235056,Canarsie,BK50
Indoor,41487891,TOWN SPORTS INTERNATIONAL,1637,3 AVENUE,MA,10128,6/7/2019,2019,Complaint Inspection,1,0,0,1,,40.78239616,-73.95135704,1086172,Yorkville,MN32
Indoor,50033544,FITNESS INTERNATIONAL LLC,78-04,S CONDUIT AVENUE,QU,11414,6/10/2019,2019,Re-Inspection,1,0,0,1,,40.67300519,-73.85777933,,,
Indoor,50051329,50 UNITED NATIONS PLAZA CONDOMINIUM,345,EAST 46 STREET,MA,10017,6/11/2019,2019,Routine Inspection,1,1,0,0,11398-19S0,40.75191908,-73.96925976,1089803,Turtle Bay-East Midtown,MN19
Indoor,40425667,THE COPLEY HEALTH CLUB,2000,BROADWAY,MA,10024,6/11/2019,2019,Routine Inspection,1,0,1,0,11397-19S0,40.77560083,-73.98214935,1070362,Lincoln Square,MN14
Indoor,41699809,NEW YORK CITY DEPARTMENT OF EDUCATION,120,EAST 184 STREET,BX,10457,6/12/2019,2019,Re-Inspection,1,0,0,1,,40.85974561,-73.90016025,2013899,Fordham South,BX40
Indoor,40425733,CHANNEL CLUB CONDO,455,EAST 86 STREET,MA,10028,6/17/2019,2019,Routine Inspection,1,0,0,1,,40.77608426,-73.94748389,1073878,Yorkville,MN32
Indoor,50094319,HARRY & MALDONADO LLC,102-06,METROPOLITAN AVENUE,QU,11375,6/17/2019,2019,Complaint Inspection,1,0,1,0,11798-19S0,40.71042676,-73.85073401,4537591,Forest Hills,QN17
Indoor,50045640,15 UNION SQUARE WEST CONDOMINIUM,15,UNION SQUARE WEST,MA,10003,6/18/2019,2019,Routine Inspection,1,0,1,0,11840-19S0,40.73578367,-73.99129653,1016065,Hudson Yards-Chelsea-Flatiron-Union Square,MN13
Indoor,41466350,80 METROPOLITAN AVENUE CONDOMINIUM,80,METROPOLITAN AVENUE,BK,11211,6/18/2019,2019,Routine Inspection,1,0,0,1,,40.71707275,-73.96396221,3251736,North Side-South Side,BK73
Indoor,40425408,EAST MIDWOOD JEWISH CENTER INC,1625,OCEAN AVENUE,BK,11236,6/19/2019,2019,Routine Inspection,1,1,0,0,11946-19S0,40.62233389,-73.9557428,3208316,Midwood,BK43
Indoor,41466338,THE POWERHOUSE CONDOMINIUM,50-09,2 STREET,QU,11101,6/21/2019,2019,Re-Inspection,1,0,1,0,09828-19S1,40.74340142,-73.95843364,4540156,Hunters Point-Sunnyside-West Maspeth,QN31
Indoor,41284581,NEW YORK SPORTS CLUB,1630,EAST 15 STREET,BK,11229,6/21/2019,2019,Routine Inspection,1,0,0,1,,40.60968146,-73.9584704,3391735,Homecrest,BK25
Indoor,40425610,WHITEHALL TENANTS CORP,3333,HENRY HUDSON PARKWAY,BX,10463,6/24/2019,2019,Routine Inspection,1,0,0,1,,40.88554881,-73.91374856,2085773,North Riverdale-Fieldston-Riverdale,BX22
Indoor,50058693,RIVERDALE COUNTRY SCHOOL INC,5250,FIELDSTON ROAD,BX,10471,6/24/2019,2019,Routine Inspection,1,0,0,1,,40.89990203,-73.90143088,2100872,North Riverdale-Fieldston-Riverdale,BX22
Indoor,41414686,THE EDUCATIONAL ALLIANCE INC,344,EAST 14 STREET,MA,10003,6/25/2019,2019,Complaint Inspection,1,1,0,0,12388-19S0,40.73155856,-73.98309571,1006521,East Village,MN22
Indoor,50060587,M PLAZA L.P.,482,WEST 43 STREET,MA,10036,6/27/2019,2019,Routine Inspection,1,0,0,1,,40.76006951,-73.99446629,1083746,Clinton,MN15
Indoor,50040041,B3ACQ LLC,139,WEST 32 STREET,MA,10001,7/1/2019,2019,Re-Inspection,1,0,1,0,11869-19S1,40.74901605,-73.98990889,1015191,Midtown-Midtown South,MN17
Outdoor,40426200,RIVER TERRACE APARTMENTS,2621,PALISADE AVENUE,BX,10463,7/3/2019,2019,Routine Inspection,1,0,0,1,,40.88198874,-73.92116314,2083472,Spuyten Duyvil-Kingsbridge,BX29
Indoor,40425496,TOWERS COUNTRY CLUB INC,272-86,GRAND CENTRAL PARKWAY,QU,11005,7/3/2019,2019,Re-Inspection,1,0,1,0,11843-19S1,40.75925224,-73.71293972,4456886,Glen Oaks-Floral Park-New Hyde Park,QN44
Outdoor,40426247,GERARD OWNER'S CORP,70-25,YELLOWSTONE BOULEVARD,QU,11375,7/3/2019,2019,Routine Inspection,1,0,0,1,,40.72259039,-73.84981556,4433878,Forest Hills,QN17
Outdoor,40426052,DAYTON TOWERS CORP,103-00,SHORE FRONT PARKWAY,QU,11694,7/3/2019,2019,Routine Inspection,1,1,0,0,13077-19S0,40.58148274,-73.8240122,4445258,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,QN10
Outdoor,40426352,NYCP&R / BUSHWICK POOL,0,BUSHWICK & FLUSHING AVENUE,BK,11206,7/5/2019,2019,Routine Inspection,1,0,0,1,,40.70119241,-73.93990088,,,
Outdoor,40426215,220-55 46TH AVE OWNERS,220-55,46 AVENUE,QU,11361,7/8/2019,2019,Routine Inspection,1,0,1,0,13249-19S0,40.7601191,-73.75928146,4160990,Bayside-Bayside Hills,QN46
Indoor,40635621,ASTORIA SPORTS COMPLEX INC,34-38,38 STREET,QU,11101,7/8/2019,2019,Re-Inspection,1,0,0,1,,40.75639823,-73.92219308,4009645,Astoria,QN70
Outdoor,40655113,SUNNYSIDE TOWERS OWNERS CORP,46-01,39 AVENUE,QU,11104,7/8/2019,2019,Routine Inspection,1,0,0,1,,40.74935183,-73.9174084,4000857,Hunters Point-Sunnyside-West Maspeth,QN31
Indoor,40425557,ST. GEORGE HEALTH & RACQUETBALL ASSOC,43,CLARK STREET,BK,11201,7/8/2019,2019,Re-Inspection,1,0,0,1,,40.69780999,-73.99430198,3001725,Brooklyn Heights-Cobble Hill,BK09
Indoor,40425398,Y.M. HEBREW ASSOCIATION OF BORO PARK,4910,14 AVENUE,BK,11219,7/8/2019,2019,Re-Inspection,1,1,0,0,12265-19S1,40.63357092,-73.99005252,3416888,Borough Park,BK88
Outdoor,40426222,W P OWNERS CORP,213-05,75 AVENUE,QU,11364,7/9/2019,2019,Routine Inspection,1,1,0,0,13408-19S0,40.73828916,-73.75890956,4453066,Oakland Gardens,QN42
Outdoor,40426120,VILLAGE MALL OF HILLCREST COND HSE,152-18,UNION TURNPIKE,QU,11367,7/9/2019,2019,Routine Inspection,1,0,0,1,,40.71930817,-73.81117207,4446722,Kew Gardens Hills,QN37
Outdoor,40426238,69-70 ASSOCIATES LLC,69-01,NORTHERN BOULEVARD,QU,11377,7/9/2019,2019,Routine Inspection,1,1,0,0,13402-19S0,40.75429817,-73.89735557,4026292,Jackson Heights,QN28
Outdoor,41109093,NAUTILUS APARTMENTS LLC,1230,AVENUE Y,BK,11235,7/9/2019,2019,Routine Inspection,1,0,0,1,,40.58975127,-73.95768713,3203882,Homecrest,BK25
Outdoor,40426400,SHEEPSHEAD BAY YACHT CLUB,3076,EMMONS AVENUE,BK,11235,7/9/2019,2019,Routine Inspection,1,0,0,1,,40.58396637,-73.93636701,3248032,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17
Indoor,41380939,TCR TENNIS CLUB OF RIVERDALE INC,2600,NETHERLAND AVENUE,BX,10463,7/11/2019,2019,Investigation,1,1,0,0,13581-19S0,40.87873784,-73.91567763,2083247,Spuyten Duyvil-Kingsbridge,BX29
Outdoor,40426254,ANDREW JACKSON CONDOMINIUM,35-20,LEVERICH STREET,QU,11372,7/11/2019,2019,Routine Inspection,1,0,0,1,,40.75024239,-73.89540566,4029273,Jackson Heights,QN28
Outdoor,40426181,FAIRVIEW OWNERS CORP,61-20,GRAND CENTRAL PARKWAY,QU,11375,7/11/2019,2019,Routine Inspection,1,0,1,0,13574-19S0,40.73840447,-73.84676664,4445338,Forest Hills,QN17
Outdoor,40426115,YMCA OF GREATER NEW YORK,2,CASTLE HILL AVENUE,BX,10473,7/12/2019,2019,Routine Inspection,1,0,0,1,,40.81177403,-73.84633335,2020591,Soundview-Castle Hill-Clason Point-Harding Park,BX09
Indoor,40604284,BEDFORD YMCA,139,MONROE STREET,BK,11216,7/12/2019,2019,Complaint Inspection,1,0,1,0,13633-19S0,40.68519374,-73.95298586,3329682,Bedford,BK75
Outdoor,40426347,NYCP&R / P.S. 158 CPB#11 MARIE CURIE,0,211 STREET & 46 AVENUE,QU,11361,7/15/2019,2019,Routine Inspection,1,0,0,1,,40.75613119,-73.77286051,,,
Outdoor,41732342,SILVER LAKE ASSOCIATES,937,VICTORY BOULEVARD,SI,10301,7/16/2019,2019,Routine Inspection,1,0,0,1,,40.62147755,-74.09744673,,,
Outdoor,40748581,GREAT EXPECTATIONS HOLDING CORP,74-15,JUNIPER BLVD NORTH,QU,11379,7/17/2019,2019,Routine Inspection,1,0,0,1,,40.72123074,-73.88451308,4067020,Middle Village,QN21
Outdoor,40426224,GOLFVIEW CONDOMINIUM,1652,FOREST HILL ROAD,SI,10314,7/17/2019,2019,Routine Inspection,1,0,0,1,,40.58008532,-74.15331513,5117279,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI24
Indoor,40425704,NYC BD OF ED/BROOKLYN TECH HIGH SCHOOL,29,FORT GREENE PLACE,BK,11217,7/18/2019,2019,Routine Inspection,1,1,0,0,,40.68882691,-73.97690452,3058752,Fort Greene,BK68
Indoor,40882767,NEW YORK SPORTS CLUB,69-47,AUSTIN STREET,QU,11375,7/19/2019,2019,Routine Inspection,1,0,1,0,14168-19S0,40.72122618,-73.84769015,4077477,Forest Hills,QN17
Outdoor,50010224,SHALOM DAY CARE INC,60,WEST END AVENUE,BK,11235,7/19/2019,2019,Routine Inspection,1,0,0,1,,40.58017858,-73.95352806,3326901,Brighton Beach,BK19
Outdoor,40426379,CYPRESS CREST HOME OWNERS ASSN,27,MELISSA STREET,SI,10314,7/19/2019,2019,Routine Inspection,1,0,0,1,,40.61957193,-74.1532801,,Mariner's Harbor-Arlington-Port Ivory-Graniteville,SI12
Indoor,40425774,HUNTER COLLEGE -BROOKDALE CAMPUS-CUNY,425,EAST 25 STREET,MA,10010,7/22/2019,2019,Complaint Inspection,1,0,0,1,,40.73787043,-73.97688023,1069579,Murray Hill-Kips Bay,MN20
Indoor,50040602,24 HOUR FITNESS USA INC,945,KINGS HIGHWAY,BK,11223,7/22/2019,2019,Complaint Inspection,1,0,0,1,,40.60708908,-73.96267127,3177585,Homecrest,BK25
Outdoor,50095818,MUSLIM AMERICAN SOCIETY,180,BURGHER AVENUE,SI,10304,7/22/2019,2019,Routine Inspection,1,0,1,0,14290-19S0,40.59257677,-74.09191342,5048818,Old Town-Dongan Hills-South Beach,SI36
Outdoor,40426311,NYCP&R / JOHN JAY,0,77 STREET & YORK AVENUE,MA,10021,7/22/2019,2019,Routine Inspection,1,0,0,1,,40.77541757,-73.96213968,,,
Indoor,40877412,TOWN SPORTS INTERNATIONAL,26,COURT STREET,BK,11201,7/23/2019,2019,Routine Inspection,1,0,1,0,14315-19S0,40.69323696,-73.99066022,3002094,Brooklyn Heights-Cobble Hill,BK09
Indoor,41439907,CRUNCH LLC,324,FLATBUSH AVENUE,BK,11238,7/23/2019,2019,Routine Inspection,1,0,1,0,14363-19S0,40.67683395,-73.97222553,3024352,Prospect Heights,BK64
Outdoor,41731894,POLYTECHNIC PREPARATORY COUNTRY DAY SCHOOL,9216,7 AVENUE,BK,11228,7/23/2019,2019,Routine Inspection,1,0,1,0,14346-19S0,40.61231054,-74.02373162,3336349,Dyker Heights,BK30
Outdoor,40426299,NYCP&R / WEST BRIGHTON,0,HENDERSON AVE & BROADWAY,SI,10310,7/23/2019,2019,Routine Inspection,1,0,0,1,,40.63687276,-74.11816875,,,
Outdoor,40426327,NYCP&R / CROTONA CPB#3,0,173 STREET& FULTON AVENUE,BX,10457,7/23/2019,2019,Re-Inspection,1,0,1,0,,40.84136211,-73.89787127,,,
Outdoor,40426375,FOUR BROTHERS HOMEOWNERS ASSOC,0,ROCKLAND AVENUE & SHIRRA AVENUE,SI,10314,7/24/2019,2019,Routine Inspection,1,1,0,0,14446-19S0,40.59092854,-74.15235357,,,
Outdoor,40426325,NYCP&R / ABE LINCOLN HS PLGD CPB#11,0,5 AVENUE & EAST 135 STREET,MA,10037,7/24/2019,2019,Routine Inspection,1,0,1,0,,,,,,
Outdoor,40426187,BAYBERRY WOODS CONDOMINIUM,369,HAWTHORNE AVENUE,SI,10314,7/25/2019,2019,Routine Inspection,1,0,0,1,,40.6078154,-74.14958311,5119693,New Springville-Bloomfield-Travis,SI05
Outdoor,40489721,WINDMILL MONTESSORI SUMMER DAY CAMP,1317,AVENUE T,BK,11229,7/26/2019,2019,Routine Inspection,1,0,0,1,,40.60091185,-73.95843626,3336568,Homecrest,BK25
Outdoor,40489526,FLATBUSH PARK DAY CAMP,6363,AVENUE U,BK,11234,7/29/2019,2019,Routine Inspection,1,0,0,1,,40.61620202,-73.91269679,3236983,Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45
Outdoor,41419373,HAYDEN ON THE HUDSON CONDOMINIUM,4455,DOUGLAS AVENUE,BX,10471,7/30/2019,2019,Routine Inspection,1,0,0,1,,40.88885027,-73.91686913,2096857,North Riverdale-Fieldston-Riverdale,BX22
Outdoor,40426231,FICO REALTY INC,515,WEST 42 STREET,MA,10036,7/31/2019,2019,Routine Inspection,1,0,0,1,,40.7598994,-73.99611234,1026914,Clinton,MN15
Indoor,40425786,NYCP&R / WEST 59 STREET,533,WEST 59 STREET,MA,10019,8/1/2019,2019,Routine Inspection,1,1,0,0,,40.77086971,-73.98868528,1086545,Lincoln Square,MN14
Outdoor,40426055,DOUGLASTON TOWNE HSE CONDOMINIUM,62-77,DOUGLASTON PARKWAY,QU,11362,8/1/2019,2019,Routine Inspection,1,0,0,1,,40.75405086,-73.74059228,4458373,Douglas Manor-Douglaston-Little Neck,QN45
Outdoor,50041893,YESHIVA MACHZIKEI HADAS,4107,16 AVENUE,BK,11204,8/1/2019,2019,Routine Inspection,1,0,1,0,,40.6353237,-73.98102686,3126466,Borough Park,BK88
Outdoor,50049297,1 BEACH 105 REALTY LLC,1,BEACH 105 STREET,QU,11694,8/5/2019,2019,Routine Inspection,1,0,0,1,,40.58149016,-73.82526859,4303819,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,QN10
Outdoor,40611006,DOLPHIN SPORTS SCHOOL INC,2114,BROWN STREET,BK,11229,8/5/2019,2019,Routine Inspection,1,0,0,1,,40.6001186,-73.93988058,3200302,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17
Outdoor,40728524,DEBMOR ESTATES HOMEOWNERS ASSOCIATION,31,JENNIFER PLACE,SI,10314,8/5/2019,2019,Routine Inspection,1,0,0,1,,40.6101969,-74.1584736,,New Springville-Bloomfield-Travis,SI05
Outdoor,40426304,NYCP&R / P.S. 46 PLGD,0,PARKINSON & KRAMER STREET,SI,10305,8/5/2019,2019,Routine Inspection,1,0,0,1,,40.59486274,-74.08162921,,,
Indoor,41730380,FC 8 SPRUCE STREET RESIDENTIAL LLC,8,SPRUCE STREET,MA,10038,8/6/2019,2019,Routine Inspection,1,1,0,0,15323-19S0,40.71123742,-74.00539618,1087485,Battery Park City-Lower Manhattan,MN25
Outdoor,40426204,HIGH POINT-ON-HUDSON OWNERS INC,2727,PALISADE AVENUE,BX,10463,8/6/2019,2019,Routine Inspection,1,0,0,1,,40.88304477,-73.92016375,2083473,Spuyten Duyvil-Kingsbridge,BX29
Outdoor,40426256,CONGRESSIONAL OWNER'S INC,609,KAPPOCK STREET,BX,10463,8/6/2019,2019,Routine Inspection,1,0,0,1,,40.87956482,-73.91680123,2083275,Spuyten Duyvil-Kingsbridge,BX29
Outdoor,40707346,ASPEN KNOLLS CORP,185,ILYSSA WAY,SI,10312,8/6/2019,2019,Routine Inspection,1,0,0,1,,40.56034139,-74.18357236,5129326,Arden Heights,SI48
Outdoor,40426372,VILLAGE SQUARE WEST HOMEOWNERS ASSOCIATION,25,VILLAGE LANE,SI,10312,8/6/2019,2019,Routine Inspection,1,0,0,1,,40.54338033,-74.16812982,,Annadale-Huguenot-Prince's Bay-Eltingville,SI01
Indoor,40425642,THE FITNESS PLACE BAYRIDGE INC,430,89 STREET,BK,11209,8/7/2019,2019,Routine Inspection,1,0,1,0,15339-19S0,40.6202034,-74.02872699,3154220,Bay Ridge,BK31
Outdoor,40426211,2575 OWNERS CORP,2575,PALISADE AVENUE,BX,10463,8/8/2019,2019,Routine Inspection,1,0,1,0,15479-19S0,40.88158833,-73.92163013,2083479,Spuyten Duyvil-Kingsbridge,BX29
Indoor,40635621,ASTORIA SPORTS COMPLEX INC,34-38,38 STREET,QU,11101,8/8/2019,2019,Complaint Inspection,1,0,0,1,,40.75639823,-73.92219308,4009645,Astoria,QN70
Outdoor,40600011,GLEN AT GREAT KILLS,27,NANCY COURT,SI,10306,8/9/2019,2019,Routine Inspection,1,0,0,1,,40.55640762,-74.14138853,5152498,Great Kills,SI54
Indoor,40425779,NYCP&R / ROY WILKINS,0,119 STREET & MERRICK BOULEVARD,QU,11434,8/9/2019,2019,Routine Inspection,1,0,1,0,,40.6863281,-73.76840455,,,
Outdoor,50043764,180 ORCHARD OWNER LLC,171,LUDLOW STREET,MA,10002,8/12/2019,2019,Routine Inspection,1,0,0,1,,40.7217164,-73.98753561,1090121,Chinatown,MN27
Indoor,40425784,NYCP&R / EAST 54TH STREET,348,EAST 54 STREET,MA,10022,8/13/2019,2019,Routine Inspection,1,0,0,1,,40.75687506,-73.96553601,1039840,Turtle Bay-East Midtown,MN19
Outdoor,50066568,SKY VIEW PARC HOME OWNERS ASSOCIATION INC,131-07,40 ROAD,QU,11354,8/13/2019,2019,Routine Inspection,1,0,0,1,,40.75593419,-73.83604202,4534020,Flushing,QN22
Outdoor,40426302,NYCP&R / GEN. DOUGLAS MCARTHUR CPB #2,0,DONGAN HILLS & SEAVER AVENUE,SI,10306,8/13/2019,2019,Routine Inspection,1,0,0,1,,40.58767856,-74.10024872,,,
Outdoor,40426318,NYCP&R / SHELTERING ARMS,0,129 STREET & AMSTERDAM AVENUE,MA,10027,8/13/2019,2019,Routine Inspection,1,0,0,1,,40.80953452,-73.941757,,,
Outdoor,40426361,NYCP&R / GLENWOOD HOUSES CPB #18,0,FARRAGUT ROAD & RALPH AVENUE,BK,11234,8/13/2019,2019,Routine Inspection,1,0,0,1,,40.63674148,-73.92056766,,,
Outdoor,50061551,"BROADWAY 371, LLC",371,BROADWAY,MA,10013,8/14/2019,2019,Routine Inspection,1,0,0,1,,40.71773711,-74.00329718,1001937,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,41581032,THE 1 NORTHSIDE PIERS CONDOMINIUM,1,NORTHSIDE PIERS,BK,11211,8/14/2019,2019,Routine Inspection,1,0,1,0,15808-19S0,40.71921374,-73.96418832,3391008,North Side-South Side,BK73
Outdoor,40426285,1855 EAST 12TH STREET DBA APT HOUSE,1855,EAST 12 STREET,BK,11229,8/14/2019,2019,Routine Inspection,1,0,0,1,,40.60420362,-73.96062377,3183926,Homecrest,BK25
Outdoor,40426310,NYCP&R / ROBERT F. WAGNER,0,EAST 124 STREET & 2 AVENUE,MA,10035,8/14/2019,2019,Routine Inspection,1,0,0,1,,40.80172675,-73.93354657,,,
Outdoor,40426316,NYCP&R / MARCUS GARVEY,0,EAST 121 STREET & MADISON AVENUE,MA,10021,8/14/2019,2019,Routine Inspection,1,0,1,0,,40.80525149,-73.94322491,,,
Outdoor,40426343,NYCP&R / LIBERTY,0,172 STREET & LIBERTY AVENUE,QU,11433,8/14/2019,2019,Complaint Inspection,1,0,0,1,,40.70157916,-73.78442578,,,
Outdoor,40426353,NYCP&R / DOUGLAS & DEGRAW STREET PLG.,0,NEVINS STREET & 3 AVENUE,BK,11215,8/14/2019,2019,Routine Inspection,1,0,0,1,,40.68087949,-73.98581627,,,
Outdoor,41664736,1280 FIFTH CONDOMINUM,1280,5 AVENUE,MA,10029,8/15/2019,2019,Routine Inspection,1,0,0,1,,40.79629758,-73.94961323,1089046,East Harlem South,MN33
Indoor,40425746,79TH REALTY CO / LUCERNE HEALTH CLUB,350,EAST 79 STREET,MA,10021,8/19/2019,2019,Routine Inspection,1,1,0,0,16096-19S0,40.772818,-73.95385886,1045256,Lenox Hill-Roosevelt Island,MN31
